"row","math_score","WEALTH","ST28Q01"
"1",538.077334210526,1.33,"0-10 books "
"2",451.2955,2.15,"11-25 books "
"3",637.715742105263,2.03,"26-100 books "
"4",561.367568421053,1.67,"26-100 books "
"5",320.122421052632,0.75,"0-10 books "
"6",522.678971052632,2.08,"101-200 books "
"7",354.74415,3.36,"101-200 books "
"8",415.210181578947,2.13,"26-100 books "
"9",386.717473684211,1.04,"11-25 books "
"10",357.933694736842,1.91,"11-25 books "
"11",363.451834210526,-0.54,"26-100 books "
"12",449.114465789474,1.54,"26-100 books "
"13",410.893231578947,2.94,"101-200 books "
"14",470.57215,1.48,"11-25 books "
"15",437.471402631579,2.26,"26-100 books "
"16",503.861473684211,1.44,"0-10 books "
"17",509.059863157895,3.2,"201-500 books "
"18",474.856310526316,1.5,"26-100 books "
"19",365.866542105263,0.94,"11-25 books "
"20",451.730068421053,2.16,"101-200 books "
"21",390.751560526316,2.87,"11-25 books "
"22",429.29665,0.49,"11-25 books "
"23",461.741463157895,2.79,"201-500 books "
"24",415.288097368421,1.85,"101-200 books "
"25",618.820357894737,2.16,"101-200 books "
"26",530.021486842105,2.08,"101-200 books "
"27",422.056631578947,2.22,"11-25 books "
"28",519.911692105263,3,"26-100 books "
"29",536.872034210526,2.28,"26-100 books "
"30",508.981963157895,2.15,"26-100 books "
"31",613.93765,1.38,"More than 500 books"
"32",503.894278947368,1.51,"26-100 books "
"33",387.086444736842,2.91,"0-10 books "
"34",495.49815,2.16,"101-200 books "
"35",471.109207894737,1.3,"26-100 books "
"36",439.053884210526,1.16,"More than 500 books"
"37",554.230047368421,2.72,"More than 500 books"
"38",423.102055263158,0.2,"0-10 books "
"39",343.814415789474,2.8,"0-10 books "
"40",441.513681578947,1.62,"201-500 books "
"41",599.674897368421,2.63,"201-500 books "
"42",425.041194736842,2.68,"11-25 books "
"43",585.53512631579,-3.01,"0-10 books "
"44",522.502684210526,2.57,"101-200 books "
"45",369.621857894737,1.92,"11-25 books "
"46",335.537181578947,1.78,"0-10 books "
"47",518.849889473684,2.78,"201-500 books "
"48",372.421921052632,0.73,"26-100 books "
"49",462.918063157895,1.96,"26-100 books "
"50",397.384815789474,1.12,"0-10 books "
"51",536.769534210526,2.19,"101-200 books "
"52",668.967539473684,2.61,"101-200 books "
"53",616.422055263158,0.32,"26-100 books "
"54",591.594439473684,2.78,"101-200 books "
"55",649.080036842105,2.92,"26-100 books "
"56",613.802360526316,1.89,"201-500 books "
"57",544.657310526316,3.78,"11-25 books "
"58",576.884821052632,2.28,"201-500 books "
"59",426.533471052632,2.46,"26-100 books "
"60",337.156555263158,0.34,"11-25 books "
"61",320.515992105263,5.03,"11-25 books "
"62",347.791102631579,0.59,"0-10 books "
"63",490.927023684211,1.88,"101-200 books "
"64",572.674460526316,1.74,"201-500 books "
"65",514.758407894737,2.05,"26-100 books "
"66",592.340578947368,2.44,"101-200 books "
"67",533.403715789474,1.7,"More than 500 books"
"68",434.884513157895,1.82,"26-100 books "
"69",555.33695,2.96,"More than 500 books"
"70",288.677928947368,-0.04,"0-10 books "
"71",472.437497368421,1.12,"101-200 books "
"72",637.63375,1.22,"11-25 books "
"73",391.981460526316,0.73,"11-25 books "
"74",387.229928947368,1.64,"26-100 books "
"75",414.554242105263,2.07,"11-25 books "
"76",558.817576315789,2.02,"More than 500 books"
"77",518.157026315789,1.46,"26-100 books "
"78",499.659313157895,1.64,"11-25 books "
"79",390.813055263158,1.71,"26-100 books "
"80",316.645889473684,1.35,"0-10 books "
"81",341.990071052632,3,"26-100 books "
"82",414.431257894737,1.65,"0-10 books "
"83",444.289157894737,1.97,"0-10 books "
"84",570.973094736842,3.22,"More than 500 books"
"85",245.487894736842,2.31,"26-100 books "
"86",354.047192105263,1.51,"26-100 books "
"87",459.031584210526,4.9,"More than 500 books"
"88",450.565752631579,1.77,"0-10 books "
"89",315.608681578947,1.67,"0-10 books "
"90",345.618268421053,0.15,"0-10 books "
"91",523.748981578947,2.02,"101-200 books "
"92",360.241794736842,1.6,"11-25 books "
"93",410.290592105263,4.85,"26-100 books "
"94",361.307710526316,0.83,"26-100 books "
"95",566.94722368421,1.83,"101-200 books "
"96",445.555960526316,1.34,"0-10 books "
"97",456.846447368421,1.63,"11-25 books "
"98",544.714705263158,2.43,"101-200 books "
"99",453.734802631579,1.56,"26-100 books "
"100",448.315039473684,0.16,"26-100 books "
"101",372.167739473684,3.2,"101-200 books "
"102",512.552781578947,1.12,"11-25 books "
"103",425.332273684211,0.85,"More than 500 books"
"104",518.005347368421,2.59,"26-100 books "
"105",388.812407894737,0.75,"0-10 books "
"106",460.015505263158,1.18,"0-10 books "
"107",373.721505263158,0.18,"11-25 books "
"108",266.699613157895,1.36,"26-100 books "
"109",367.244036842105,0.61,"26-100 books "
"110",343.998897368421,-0.31,"0-10 books "
"111",457.826278947368,2.84,"0-10 books "
"112",325.390497368421,1.9,"11-25 books "
"113",477.217713157895,1.78,"0-10 books "
"114",371.319107894737,-0.75,"11-25 books "
"115",401.869855263158,1.11,"26-100 books "
"116",149.490002631579,0.83,"11-25 books "
"117",423.450523684211,1.04,"101-200 books "
"118",597.965334210526,1.92,"26-100 books "
"119",425.463465789474,1.78,"26-100 books "
"120",576.905321052632,2.59,"101-200 books "
"121",480.911513157895,3.55,"101-200 books "
"122",568.004931578947,1.46,"101-200 books "
"123",435.339584210526,2.92,"11-25 books "
"124",395.970431578947,-0.53,"0-10 books "
"125",373.323839473684,1.12,"11-25 books "
"126",481.120602631579,1.89,"26-100 books "
"127",583.501702631579,1.14,"11-25 books "
"128",274.247105263158,1.3,"0-10 books "
"129",457.416310526316,3.33,"More than 500 books"
"130",535.531436842105,2.69,"201-500 books "
"131",258.237871052632,-0.84,"0-10 books "
"132",501.565671052632,3.2,"201-500 books "
"133",384.876715789474,-0.61,"0-10 books "
"134",559.166042105263,2.78,"101-200 books "
"135",581.566655263158,2.35,"101-200 books "
"136",487.052823684211,2.77,"101-200 books "
"137",636.096371052632,2.63,"More than 500 books"
"138",346.532494736842,1.64,"26-100 books "
"139",645.492821052632,2.17,"26-100 books "
"140",480.206376315789,1.65,"101-200 books "
"141",314.391071052632,-0.19,"0-10 books "
"142",420.408571052632,0.31,"11-25 books "
"143",592.090505263158,1.76,"101-200 books "
"144",454.013581578947,1.5,"0-10 books "
"145",326.276023684211,1.38,"0-10 books "
"146",407.379818421053,2.15,"26-100 books "
"147",575.490934210526,0.38,"26-100 books "
"148",365.075310526316,2.31,"0-10 books "
"149",447.052334210526,0.0600000000000001,"0-10 books "
"150",537.86825,1.41,"26-100 books "
"151",372.266128947368,2.37,"201-500 books "
"152",587.78175,1.62,"0-10 books "
"153",354.104581578947,2.58,"0-10 books "
"154",602.183884210526,2.17,"201-500 books "
"155",527.336207894737,0.97,"More than 500 books"
"156",678.966639473684,2.78,"101-200 books "
"157",596.259871052632,2.44,"201-500 books "
"158",544.509718421053,2.76,"201-500 books "
"159",502.656184210526,0.93,"11-25 books "
"160",375.603263157895,2.05,"26-100 books "
"161",396.4583,-0.97,"0-10 books "
"162",448.983286842105,0.75,"0-10 books "
"163",364.513655263158,1.49,"0-10 books "
"164",470.289263157895,-0.33,"101-200 books "
"165",303.490052631579,2.11,"11-25 books "
"166",577.163597368421,2.59,"26-100 books "
"167",516.242486842105,2.43,"0-10 books "
"168",387.365226315789,-0.97,"11-25 books "
"169",665.335231578947,3.46,"101-200 books "
"170",227.215660526316,2.94,"11-25 books "
"171",507.768468421053,2.31,"11-25 books "
"172",414.377952631579,2.31,"26-100 books "
"173",506.329465789474,3.2,"11-25 books "
"174",387.164342105263,2.32,"101-200 books "
"175",481.719155263158,1.86,"11-25 books "
"176",480.53025,2.42,"101-200 books "
"177",564.848186842105,1.58,"26-100 books "
"178",221.562234210526,1.27,"11-25 books "
"179",385.380976315789,1.41,"26-100 books "
"180",326.485110526316,0.2,"11-25 books "
"181",413.451431578947,2.22,"11-25 books "
"182",631.857321052632,1.08,"101-200 books "
"183",362.590907894737,2.84,"101-200 books "
"184",397.585702631579,3.42,"11-25 books "
"185",603.094018421053,2.04,"26-100 books "
"186",493.255631578947,2.43,"11-25 books "
"187",391.842063157895,2.15,"101-200 books "
"188",440.328878947368,3.38,"101-200 books "
"189",484.191263157895,2.78,"201-500 books "
"190",606.627934210526,1.92,"201-500 books "
"191",481.809355263158,1.35,"26-100 books "
"192",517.02962368421,2.22,"More than 500 books"
"193",624.969868421053,3.78,"101-200 books "
"194",422.6101,1.53,"11-25 books "
"195",425.955442105263,0.36,"11-25 books "
"196",467.542492105263,2.22,"26-100 books "
"197",423.598107894737,1.58,"0-10 books "
"198",344.966423684211,2.16,"101-200 books "
"199",227.670739473684,-0.46,"0-10 books "
"200",539.905781578947,1.78,"26-100 books "
"201",394.420768421053,0.59,"0-10 books "
"202",456.780860526316,1.27,"11-25 books "
"203",309.323886842105,-0.66,"11-25 books "
"204",390.521968421053,0.84,"11-25 books "
"205",635.050960526316,1.39,"26-100 books "
"206",417.247721052632,1.58,"201-500 books "
"207",603.483492105263,2.43,"26-100 books "
"208",407.260926315789,0.68,"26-100 books "
"209",587.338984210526,1.57,"201-500 books "
"210",609.751884210526,2.13,"26-100 books "
"211",472.396492105263,2.78,"201-500 books "
"212",407.326521052632,-0.41,"26-100 books "
"213",346.671878947368,1.25,"0-10 books "
"214",470.473763157895,0.87,"26-100 books "
"215",534.457328947368,2.16,"201-500 books "
"216",603.217010526316,1.86,"101-200 books "
"217",638.539778947368,2.43,"201-500 books "
"218",660.415628947368,3.78,"26-100 books "
