,PARED_cut1,mean_math,mean_wealth,n
1,"(2,3]",379.9292282,0.196861041,7477
2,"(3,4]",352.3381062,0.316953125,3456
3,"(4,5]",441.1417864,0.628676877,3983
4,"(5,7]",400.4352072,0.344283276,16408
5,"(7,8]",430.7400947,1.331148414,16144
6,"(8,9]",438.9894007,0.789502464,27998
7,"(9,10]",431.4768572,1.464321418,6602
8,"(10,11]",445.5357318,1.231062832,27088
9,"(11,12]",465.9371598,1.709447916,85621
10,"(12,13]",487.2963805,1.722384773,38641
11,"(13,14]",474.5371182,1.563518418,25790
12,"(14,15]",489.0021683,1.967461378,50878
13,"(15,16]",484.3023663,2.054850088,75244
14,"(16,17]",512.2093722,2.236238486,55911
15,"(17,18]",525.6860721,2.14599744,9374
