Date,Pageviews,Clicks,Enrollments,Payments,Click-through-probability,Gross conversion,Retention,Net conversion,,,,,,Gross conversion,,
"Sat, Oct 11",7716,686,105,34,0.088906169,0.153061224,0.323809524,0.049562682,,104.9999997,,,,0.195050946,-0.041989722,0
"Sun, Oct 12",9288,785,116,91,0.084517657,0.147770701,0.784482759,0.115923567,,116.0000003,,,,0.188703466,-0.040932765,0
"Mon, Oct 13",10480,884,145,79,0.084351145,0.164027149,0.544827586,0.089366516,,144.9999997,,,,0.183718372,-0.019691223,0
"Tue, Oct 14",9867,827,138,92,0.083814736,0.166868198,0.666666667,0.111245466,,137.9999997,,,,0.186602871,-0.019734673,0
"Wed, Oct 15",9793,832,140,94,0.084958644,0.168269231,0.671428571,0.112980769,,140.0000002,,,,0.19474313,-0.026473899,0
"Thu, Oct 16",9500,788,129,61,0.082947368,0.163705584,0.472868217,0.077411168,,129.0000002,,,,0.167679222,-0.003973638,0
"Fri, Oct 17",9088,780,127,44,0.085827465,0.162820513,0.346456693,0.056410256,,127.0000001,,,,0.195187166,-0.032366653,0
"Sat, Oct 18",7664,652,94,62,0.085073069,0.144171779,0.659574468,0.095092025,,93.99999991,,,,0.174050633,-0.029878854,0
"Sun, Oct 19",8434,697,120,77,0.082641688,0.172166428,0.641666667,0.110473458,,120.0000003,,,,0.189580318,-0.01741389,0
"Mon, Oct 20",10496,860,153,98,0.081935976,0.177906977,0.640522876,0.113953488,,153.0000002,,,,0.191637631,-0.013730654,0
"Tue, Oct 21",10551,864,143,71,0.081887973,0.165509259,0.496503497,0.082175926,,142.9999998,,,,0.226066897,-0.060557638,0
"Wed, Oct 22",9737,801,128,70,0.082263531,0.15980025,0.546875,0.087390762,,128.0000003,,,,0.193317422,-0.033517172,0
"Thu, Oct 23",8176,642,122,68,0.078522505,0.190031153,0.557377049,0.105919003,,122.0000002,,,,0.190977444,-0.000946291,0
"Fri, Oct 24",9402,697,194,94,0.074133163,0.278335725,0.484536082,0.134863702,,194.0000003,,,,0.326894502,-0.048558777,0
"Sat, Oct 25",8669,669,127,81,0.077171531,0.189835575,0.637795276,0.121076233,,126.9999997,,,,0.254703329,-0.064867754,0
"Sun, Oct 26",8881,693,153,101,0.078031753,0.220779221,0.660130719,0.145743146,,153.0000002,,,,0.22740113,-0.006621909,0
"Mon, Oct 27",9655,771,213,119,0.079854997,0.276264591,0.558685446,0.154345006,,212.9999997,,,,0.306982872,-0.030718281,0
"Tue, Oct 28",9396,736,162,120,0.078331205,0.220108696,0.740740741,0.163043478,,162.0000003,,,,0.20923913,0.010869566,1
"Wed, Oct 29",9262,727,201,96,0.078492766,0.27647868,0.47761194,0.132049519,,201.0000004,,,,0.265223275,0.011255405,1
"Thu, Oct 30",9308,728,207,67,0.078212291,0.284340659,0.323671498,0.092032967,,206.9999998,,,,0.227520436,0.056820223,1
"Fri, Oct 31",8715,722,182,123,0.082845668,0.252077562,0.675824176,0.170360111,,181.9999998,,,,0.246458924,0.005618638,1
"Sat, Nov 1",8448,695,142,100,0.082267992,0.204316547,0.704225352,0.143884892,,142.0000002,,,,0.22907489,-0.024758343,0
"Sun, Nov 2",8836,724,182,103,0.081937528,0.251381215,0.565934066,0.142265193,,181.9999997,,,,0.297258297,-0.045877082,0
"Mon, Nov 3",9359,789,,,,,,,,3423,17260,0.198319815,,,,
"Tue, Nov 4",9427,743,,,,,,,,,,,,,,
"Wed, Nov 5",9633,808,,,,,,,,,,,,,,
"Thu, Nov 6",9842,831,,,,,,,,,,,,,,
"Fri, Nov 7",9272,767,,,,,,,,,,,,,,
"Sat, Nov 8",8969,760,,,,,,,,,,,,,,
"Sun, Nov 9",9697,850,,,,,,,,,,,,,,
"Mon, Nov 10",10445,851,,,,,,,,,,,,,,
"Tue, Nov 11",9931,831,,,,,,,,,,,,,,
"Wed, Nov 12",10042,802,,,,,,,,,,,,,,
"Thu, Nov 13",9721,829,,,,,,,,,,,,,,
"Fri, Nov 14",9304,770,,,,,,,,,,,,,,
"Sat, Nov 15",8668,724,,,,,,,,,,,,,,
"Sun, Nov 16",8988,710,,,,,,,,,,,,,,
sum,344660,28325,,,0.082182441,,,,,,,,,,,
